Sala,Capacidade
1,52
2,61
3,61
4,40
5,37
6,47
7,39
8,35
9,67
10,46
11,53
12,31
13,49
14,34
15,64
16,49
17,44
18,66
19,39
20,63
21,58
22,49
23,55
24,38
25,65
26,60
27,52
28,49
29,61
30,68
31,44
32,37
33,69
34,36
35,50
36,69
37,54
38,64
39,45
40,69
41,35
42,59
43,59
44,44
45,34
46,38
47,40
48,69
49,46
50,43
51,64
52,53
53,38
54,69
55,55
56,35
57,49
58,33
59,48
60,44
61,34
62,66
63,46
64,58
65,40
66,33
67,48
68,49
69,48
70,63
71,33
72,65
73,40
74,45
75,50
76,61
77,53
78,57
79,43
80,32
81,43
82,43
83,64
84,56
85,32
86,35
87,38
88,43
89,39
90,54
91,39
92,40
93,69
94,36
95,50
96,48
97,67
98,48
99,62
100,31
