Disciplina,Alunos
1,35
2,40
3,58
4,54
5,54
6,31
7,39
8,26
9,23
10,24
11,23
12,20
13,57
14,46
15,38
16,51
17,33
18,55
19,32
20,49
21,38
22,44
23,53
24,49
25,59
26,21
27,42
28,47
29,21
30,47
31,48
32,34
33,29
34,27
35,38
36,32
37,37
38,21
39,22
40,42
41,50
42,25
43,43
44,28
45,42
46,39
47,43
48,28
49,44
50,22
51,56
52,38
53,36
54,25
55,31
56,40
57,32
58,50
59,39
60,57
61,32
62,59
63,55
64,25
65,22
66,41
67,46
68,46
69,26
70,21
71,35
72,21
73,48
74,54
75,26
76,46
77,26
78,30
79,21
80,54
81,33
82,56
83,51
84,44
85,25
86,58
87,25
88,54
89,55
90,28
91,37
92,26
93,29
94,41
95,44
96,20
97,22
98,34
99,46
100,21
